order_id,restaurant_name,locality,cuisine,date,hour,day_of_week,is_weekend,is_monsoon,festival,primary_dish,n_items,order_value_inr,group_size,price_range
20,Vaishali,FC Road,South Indian,2024-01-04,13,Thursday,0,0,none,Masala Dosa,3,199.96,6,2
21,Vaishali,FC Road,South Indian,2024-01-04,13,Thursday,0,0,none,Idli Sambar,3,227.97,1,2
22,Vaishali,FC Road,South Indian,2024-01-04,13,Thursday,0,0,none,Masala Dosa,1,81.97,1,2
23,Vaishali,FC Road,South Indian,2024-01-04,13,Thursday,0,0,none,Idli Sambar,3,153.7,4,2
24,Vaishali,FC Road,South Indian,2024-01-04,13,Thursday,0,0,none,Idli Sambar,3,195.51,4,2
25,Vaishali,FC Road,South Indian,2024-01-04,13,Thursday,0,0,none,Filter Coffee,3,135.92,2,2
26,Vaishali,FC Road,South Indian,2024-01-04,13,Thursday,0,0,none,Masala Dosa,2,133.08,2,2
27,Vaishali,FC Road,South Indian,2024-01-04,13,Thursday,0,0,none,Filter Coffee,3,165.39,1,2
28,Vaishali,FC Road,South Indian,2024-01-04,13,Thursday,0,0,none,Masala Dosa,2,133.01,6,2
29,Vaishali,FC Road,South Indian,2024-01-04,13,Thursday,0,0,none,Idli Sambar,3,201.65,2,2
30,Vaishali,FC Road,South Indian,2024-01-04,14,Thursday,0,0,none,Filter Coffee,3,136.76,1,2
31,Vaishali,FC Road,South Indian,2024-01-04,14,Thursday,0,0,none,Masala Dosa,1,77.25,6,2
32,Vaishali,FC Road,South Indian,2024-01-04,14,Thursday,0,0,none,Masala Dosa,2,105.6,2,2
33,Vaishali,FC Road,South Indian,2024-01-04,14,Thursday,0,0,none,Filter Coffee,3,121.96,2,2
34,Vaishali,FC Road,South Indian,2024-01-04,14,Thursday,0,0,none,Filter Coffee,1,31.41,1,2
35,Vaishali,FC Road,South Indian,2024-01-04,14,Thursday,0,0,none,Masala Dosa,2,114.67,2,2
36,Vaishali,FC Road,South Indian,2024-01-04,17,Thursday,0,0,none,Idli Sambar,2,118.95,2,2
37,Vaishali,FC Road,South Indian,2024-01-04,17,Thursday,0,0,none,Filter Coffee,1,31.12,4,2
38,Vaishali,FC Road,South Indian,2024-01-04,17,Thursday,0,0,none,Idli Sambar,1,58.92,2,2
39,Vaishali,FC Road,South Indian,2024-01-04,17,Thursday,0,0,none,Idli Sambar,1,60.13,1,2
40,Vaishali,FC Road,South Indian,2024-01-04,18,Thursday,0,0,none,Idli Sambar,1,57.98,6,2
41,Vaishali,FC Road,South Indian,2024-01-04,18,Thursday,0,0,none,Masala Dosa,2,145.85,4,2
42,Vaishali,FC Road,South Indian,2024-01-04,18,Thursday,0,0,none,Masala Dosa,1,81.53,4,2
43,Vaishali,FC Road,South Indian,2024-01-04,19,Thursday,0,0,none,Masala Dosa,3,176.97,4,2
44,Vaishali,FC Road,South Indian,2024-01-04,19,Thursday,0,0,none,Filter Coffee,1,29.01,4,2
45,Vaishali,FC Road,South Indian,2024-01-04,20,Thursday,0,0,none,Idli Sambar,1,61.27,2,2
46,Vaishali,FC Road,South Indian,2024-01-04,20,Thursday,0,0,none,Masala Dosa,3,193.89,2,2
47,Vaishali,FC Road,South Indian,2024-01-04,20,Thursday,0,0,none,Idli Sambar,2,146.67,1,2
48,Vaishali,FC Road,South Indian,2024-01-04,20,Thursday,0,0,none,Filter Coffee,1,29.2,2,2
49,Vaishali,FC Road,South Indian,2024-01-04,20,Thursday,0,0,none,Filter Coffee,3,183.1,4,2
50,Vaishali,FC Road,South Indian,2024-01-04,20,Thursday,0,0,none,Masala Dosa,2,152.06,2,2
51,Vaishali,FC Road,South Indian,2024-01-04,20,Thursday,0,0,none,Idli Sambar,2,121.94,2,2
52,Vaishali,FC Road,South Indian,2024-01-04,20,Thursday,0,0,none,Idli Sambar,2,93.99,1,2
53,Vaishali,FC Road,South Indian,2024-01-04,21,Thursday,0,0,none,Idli Sambar,2,133.46,2,2
54,Vaishali,FC Road,South Indian,2024-01-04,21,Thursday,0,0,none,Idli Sambar,1,60.47,4,2
55,Vaishali,FC Road,South Indian,2024-01-04,21,Thursday,0,0,none,Filter Coffee,2,115.38,2,2
56,Vaishali,FC Road,South Indian,2024-01-04,21,Thursday,0,0,none,Masala Dosa,1,80.27,4,2
57,Vaishali,FC Road,South Indian,2024-01-04,21,Thursday,0,0,none,Filter Coffee,1,30.54,4,2
58,Vaishali,FC Road,South Indian,2024-01-04,21,Thursday,0,0,none,Filter Coffee,1,31.29,1,2
59,Vaishali,FC Road,South Indian,2024-01-04,21,Thursday,0,0,none,Masala Dosa,1,79.29,4,2
60,Vaishali,FC Road,South Indian,2024-01-04,22,Thursday,0,0,none,Idli Sambar,3,156.49,6,2
61,Vaishali,FC Road,South Indian,2024-01-04,22,Thursday,0,0,none,Filter Coffee,3,166.52,1,2
62,Vaishali,FC Road,South Indian,2024-01-04,22,Thursday,0,0,none,Idli Sambar,1,58.07,2,2
63,Vaishali,FC Road,South Indian,2024-01-04,23,Thursday,0,0,none,Filter Coffee,1,29.65,1,2
64,Vaishali,FC Road,South Indian,2024-01-04,23,Thursday,0,0,none,Idli Sambar,3,176.69,4,2
65,Vaishali,FC Road,South Indian,2024-01-04,23,Thursday,0,0,none,Filter Coffee,1,29.22,2,2
66,Vaishali,FC Road,South Indian,2024-01-04,23,Thursday,0,0,none,Idli Sambar,2,115.72,4,2
67,Vaishali,FC Road,South Indian,2024-01-04,23,Thursday,0,0,none,Filter Coffee,1,29.63,2,2
68,Vaishali,FC Road,South Indian,2024-01-04,23,Thursday,0,0,none,Masala Dosa,3,177.22,2,2
69,Vaishali,FC Road,South Indian,2024-01-04,23,Thursday,0,0,none,Filter Coffee,2,104.97,6,2
70,Vaishali,FC Road,South Indian,2024-01-06,8,Saturday,1,0,none,Idli Sambar,3,166.2,1,2
71,Vaishali,FC Road,South Indian,2024-01-06,8,Saturday,1,0,none,Masala Dosa,3,242.9,2,2
72,Vaishali,FC Road,South Indian,2024-01-06,8,Saturday,1,0,none,Filter Coffee,1,30.3,4,2
73,Vaishali,FC Road,South Indian,2024-01-06,9,Saturday,1,0,none,Masala Dosa,2,135.18,4,2
74,Vaishali,FC Road,South Indian,2024-01-06,9,Saturday,1,0,none,Masala Dosa,3,185.28,4,2
75,Vaishali,FC Road,South Indian,2024-01-06,9,Saturday,1,0,none,Masala Dosa,3,184.12,2,2
76,Vaishali,FC Road,South Indian,2024-01-06,9,Saturday,1,0,none,Masala Dosa,2,112.13,4,2
77,Vaishali,FC Road,South Indian,2024-01-06,9,Saturday,1,0,none,Masala Dosa,1,84.0,2,2
78,Vaishali,FC Road,South Indian,2024-01-06,9,Saturday,1,0,none,Masala Dosa,3,212.56,6,2
79,Vaishali,FC Road,South Indian,2024-01-06,9,Saturday,1,0,none,Masala Dosa,1,83.06,2,2
80,Vaishali,FC Road,South Indian,2024-01-06,10,Saturday,1,0,none,Idli Sambar,1,62.12,1,2
81,Vaishali,FC Road,South Indian,2024-01-06,10,Saturday,1,0,none,Idli Sambar,2,125.9,1,2
82,Vaishali,FC Road,South Indian,2024-01-06,10,Saturday,1,0,none,Masala Dosa,1,82.33,2,2
83,Vaishali,FC Road,South Indian,2024-01-06,10,Saturday,1,0,none,Filter Coffee,2,57.76,2,2
84,Vaishali,FC Road,South Indian,2024-01-06,10,Saturday,1,0,none,Filter Coffee,2,91.1,6,2
85,Vaishali,FC Road,South Indian,2024-01-06,11,Saturday,1,0,none,Idli Sambar,2,124.69,4,2
86,Vaishali,FC Road,South Indian,2024-01-06,11,Saturday,1,0,none,Filter Coffee,1,29.72,6,2
87,Vaishali,FC Road,South Indian,2024-01-06,11,Saturday,1,0,none,Idli Sambar,3,217.01,4,2
88,Vaishali,FC Road,South Indian,2024-01-06,11,Saturday,1,0,none,Idli Sambar,1,58.03,2,2
89,Vaishali,FC Road,South Indian,2024-01-06,11,Saturday,1,0,none,Masala Dosa,2,136.05,2,2
90,Vaishali,FC Road,South Indian,2024-01-06,11,Saturday,1,0,none,Filter Coffee,1,29.89,2,2
91,Vaishali,FC Road,South Indian,2024-01-06,12,Saturday,1,0,none,Masala Dosa,1,80.48,2,2
92,Vaishali,FC Road,South Indian,2024-01-06,12,Saturday,1,0,none,Idli Sambar,1,57.74,6,2
93,Vaishali,FC Road,South Indian,2024-01-06,12,Saturday,1,0,none,Masala Dosa,3,198.28,1,2
94,Vaishali,FC Road,South Indian,2024-01-06,13,Saturday,1,0,none,Masala Dosa,3,232.13,2,2
95,Vaishali,FC Road,South Indian,2024-01-06,13,Saturday,1,0,none,Filter Coffee,2,62.52,4,2
96,Vaishali,FC Road,South Indian,2024-01-06,13,Saturday,1,0,none,Idli Sambar,1,61.02,2,2
97,Vaishali,FC Road,South Indian,2024-01-06,14,Saturday,1,0,none,Filter Coffee,2,59.87,4,2
98,Vaishali,FC Road,South Indian,2024-01-06,14,Saturday,1,0,none,Masala Dosa,1,78.94,1,2
99,Vaishali,FC Road,South Indian,2024-01-06,14,Saturday,1,0,none,Masala Dosa,2,157.1,2,2
100,Vaishali,FC Road,South Indian,2024-01-06,14,Saturday,1,0,none,Idli Sambar,3,175.25,2,2
101,Vaishali,FC Road,South Indian,2024-01-06,14,Saturday,1,0,none,Filter Coffee,3,138.15,2,2
102,Vaishali,FC Road,South Indian,2024-01-06,14,Saturday,1,0,none,Filter Coffee,1,30.31,1,2
103,Vaishali,FC Road,South Indian,2024-01-06,14,Saturday,1,0,none,Filter Coffee,1,30.0,2,2
104,Vaishali,FC Road,South Indian,2024-01-06,14,Saturday,1,0,none,Idli Sambar,2,88.27,2,2
105,Vaishali,FC Road,South Indian,2024-01-06,17,Saturday,1,0,none,Idli Sambar,1,58.39,4,2
106,Vaishali,FC Road,South Indian,2024-01-06,17,Saturday,1,0,none,Idli Sambar,1,58.98,1,2
107,Vaishali,FC Road,South Indian,2024-01-06,17,Saturday,1,0,none,Masala Dosa,2,107.01,1,2
108,Vaishali,FC Road,South Indian,2024-01-06,17,Saturday,1,0,none,Filter Coffee,2,59.71,2,2
109,Vaishali,FC Road,South Indian,2024-01-06,17,Saturday,1,0,none,Filter Coffee,1,29.08,2,2
110,Vaishali,FC Road,South Indian,2024-01-06,18,Saturday,1,0,none,Idli Sambar,1,62.38,1,2
111,Vaishali,FC Road,South Indian,2024-01-06,18,Saturday,1,0,none,Idli Sambar,1,57.16,4,2
112,Vaishali,FC Road,South Indian,2024-01-06,18,Saturday,1,0,none,Filter Coffee,1,28.77,2,2
113,Vaishali,FC Road,South Indian,2024-01-06,18,Saturday,1,0,none,Filter Coffee,2,111.94,2,2
114,Vaishali,FC Road,South Indian,2024-01-06,18,Saturday,1,0,none,Masala Dosa,3,250.09,4,2
115,Vaishali,FC Road,South Indian,2024-01-06,18,Saturday,1,0,none,Filter Coffee,3,146.74,2,2
116,Vaishali,FC Road,South Indian,2024-01-06,18,Saturday,1,0,none,Filter Coffee,1,30.45,4,2
117,Vaishali,FC Road,South Indian,2024-01-06,18,Saturday,1,0,none,Idli Sambar,2,141.71,2,2
118,Vaishali,FC Road,South Indian,2024-01-06,19,Saturday,1,0,none,Masala Dosa,1,79.3,2,2
119,Vaishali,FC Road,South Indian,2024-01-06,19,Saturday,1,0,none,Filter Coffee,2,86.47,2,2
120,Vaishali,FC Road,South Indian,2024-01-06,19,Saturday,1,0,none,Masala Dosa,2,143.67,1,2
121,Vaishali,FC Road,South Indian,2024-01-06,19,Saturday,1,0,none,Filter Coffee,2,62.99,4,2
122,Vaishali,FC Road,South Indian,2024-01-06,19,Saturday,1,0,none,Masala Dosa,1,78.51,1,2
123,Vaishali,FC Road,South Indian,2024-01-06,19,Saturday,1,0,none,Masala Dosa,2,139.0,1,2
124,Vaishali,FC Road,South Indian,2024-01-06,19,Saturday,1,0,none,Filter Coffee,3,186.89,2,2
125,Vaishali,FC Road,South Indian,2024-01-06,19,Saturday,1,0,none,Idli Sambar,1,61.68,2,2
126,Vaishali,FC Road,South Indian,2024-01-06,20,Saturday,1,0,none,Idli Sambar,1,58.49,2,2
127,Vaishali,FC Road,South Indian,2024-01-06,20,Saturday,1,0,none,Idli Sambar,3,205.26,2,2
128,Vaishali,FC Road,South Indian,2024-01-06,20,Saturday,1,0,none,Idli Sambar,3,168.71,4,2
129,Vaishali,FC Road,South Indian,2024-01-06,20,Saturday,1,0,none,Masala Dosa,3,205.86,1,2
130,Vaishali,FC Road,South Indian,2024-01-06,20,Saturday,1,0,none,Masala Dosa,2,138.74,4,2
131,Vaishali,FC Road,South Indian,2024-01-06,20,Saturday,1,0,none,Idli Sambar,2,118.09,4,2
132,Vaishali,FC Road,South Indian,2024-01-06,20,Saturday,1,0,none,Masala Dosa,1,79.56,2,2
133,Vaishali,FC Road,South Indian,2024-01-06,20,Saturday,1,0,none,Idli Sambar,3,118.03,2,2
134,Vaishali,FC Road,South Indian,2024-01-06,20,Saturday,1,0,none,Masala Dosa,1,76.89,1,2
135,Vaishali,FC Road,South Indian,2024-01-06,20,Saturday,1,0,none,Masala Dosa,2,154.99,2,2
136,Vaishali,FC Road,South Indian,2024-01-06,20,Saturday,1,0,none,Masala Dosa,2,153.27,2,2
137,Vaishali,FC Road,South Indian,2024-01-06,21,Saturday,1,0,none,Idli Sambar,3,198.25,1,2
138,Vaishali,FC Road,South Indian,2024-01-06,21,Saturday,1,0,none,Masala Dosa,2,112.4,4,2
139,Vaishali,FC Road,South Indian,2024-01-06,21,Saturday,1,0,none,Idli Sambar,1,61.53,4,2
140,Vaishali,FC Road,South Indian,2024-01-06,21,Saturday,1,0,none,Masala Dosa,1,82.06,2,2
141,Vaishali,FC Road,South Indian,2024-01-06,21,Saturday,1,0,none,Filter Coffee,1,31.3,4,2
142,Vaishali,FC Road,South Indian,2024-01-06,21,Saturday,1,0,none,Filter Coffee,1,30.27,2,2
143,Vaishali,FC Road,South Indian,2024-01-06,21,Saturday,1,0,none,Idli Sambar,3,153.92,4,2
144,Vaishali,FC Road,South Indian,2024-01-06,21,Saturday,1,0,none,Idli Sambar,2,122.94,1,2
145,Vaishali,FC Road,South Indian,2024-01-06,21,Saturday,1,0,none,Idli Sambar,2,86.75,4,2
146,Vaishali,FC Road,South Indian,2024-01-06,21,Saturday,1,0,none,Masala Dosa,2,166.42,1,2
147,Vaishali,FC Road,South Indian,2024-01-06,21,Saturday,1,0,none,Filter Coffee,2,106.85,1,2
148,Vaishali,FC Road,South Indian,2024-01-06,21,Saturday,1,0,none,Masala Dosa,3,177.03,2,2
149,Vaishali,FC Road,South Indian,2024-01-06,21,Saturday,1,0,none,Filter Coffee,3,149.9,4,2
150,Vaishali,FC Road,South Indian,2024-01-06,22,Saturday,1,0,none,Idli Sambar,1,59.85,1,2
151,Vaishali,FC Road,South Indian,2024-01-06,22,Saturday,1,0,none,Masala Dosa,1,82.11,2,2
152,Vaishali,FC Road,South Indian,2024-01-06,22,Saturday,1,0,none,Masala Dosa,2,108.34,6,2
153,Vaishali,FC Road,South Indian,2024-01-06,22,Saturday,1,0,none,Idli Sambar,1,62.3,2,2
154,Vaishali,FC Road,South Indian,2024-01-06,22,Saturday,1,0,none,Filter Coffee,2,106.01,1,2
155,Vaishali,FC Road,South Indian,2024-01-06,22,Saturday,1,0,none,Masala Dosa,2,162.72,4,2
156,Vaishali,FC Road,South Indian,2024-01-06,22,Saturday,1,0,none,Filter Coffee,2,111.94,2,2
157,Vaishali,FC Road,South Indian,2024-01-06,22,Saturday,1,0,none,Masala Dosa,2,163.23,2,2
158,Vaishali,FC Road,South Indian,2024-01-06,23,Saturday,1,0,none,Masala Dosa,1,79.4,1,2
159,Vaishali,FC Road,South Indian,2024-01-06,23,Saturday,1,0,none,Idli Sambar,3,154.58,2,2
160,Vaishali,FC Road,South Indian,2024-01-07,8,Sunday,1,0,none,Filter Coffee,1,31.27,1,2
161,Vaishali,FC Road,South Indian,2024-01-07,8,Sunday,1,0,none,Filter Coffee,1,29.78,4,2
162,Vaishali,FC Road,South Indian,2024-01-07,8,Sunday,1,0,none,Idli Sambar,2,125.5,1,2
163,Vaishali,FC Road,South Indian,2024-01-07,8,Sunday,1,0,none,Idli Sambar,2,90.22,1,2
164,Vaishali,FC Road,South Indian,2024-01-07,9,Sunday,1,0,none,Filter Coffee,2,87.8,1,2
165,Vaishali,FC Road,South Indian,2024-01-07,9,Sunday,1,0,none,Idli Sambar,2,145.64,6,2
166,Vaishali,FC Road,South Indian,2024-01-07,9,Sunday,1,0,none,Idli Sambar,2,119.11,4,2
167,Vaishali,FC Road,South Indian,2024-01-07,9,Sunday,1,0,none,Filter Coffee,1,30.8,2,2
168,Vaishali,FC Road,South Indian,2024-01-07,9,Sunday,1,0,none,Idli Sambar,2,118.4,2,2
169,Vaishali,FC Road,South Indian,2024-01-07,9,Sunday,1,0,none,Masala Dosa,3,203.35,2,2
170,Vaishali,FC Road,South Indian,2024-01-07,9,Sunday,1,0,none,Filter Coffee,1,28.59,2,2
171,Vaishali,FC Road,South Indian,2024-01-07,10,Sunday,1,0,none,Idli Sambar,3,143.04,2,2
172,Vaishali,FC Road,South Indian,2024-01-07,10,Sunday,1,0,none,Filter Coffee,1,28.97,1,2
173,Vaishali,FC Road,South Indian,2024-01-07,10,Sunday,1,0,none,Masala Dosa,1,82.65,2,2
174,Vaishali,FC Road,South Indian,2024-01-07,10,Sunday,1,0,none,Idli Sambar,1,61.37,2,2
175,Vaishali,FC Road,South Indian,2024-01-07,10,Sunday,1,0,none,Masala Dosa,2,105.25,1,2
176,Vaishali,FC Road,South Indian,2024-01-07,10,Sunday,1,0,none,Idli Sambar,1,58.48,4,2
177,Vaishali,FC Road,South Indian,2024-01-07,10,Sunday,1,0,none,Filter Coffee,1,29.51,4,2
178,Vaishali,FC Road,South Indian,2024-01-07,10,Sunday,1,0,none,Masala Dosa,2,108.34,1,2
179,Vaishali,FC Road,South Indian,2024-01-07,11,Sunday,1,0,none,Filter Coffee,2,110.59,4,2
180,Vaishali,FC Road,South Indian,2024-01-07,11,Sunday,1,0,none,Masala Dosa,1,79.34,2,2
181,Vaishali,FC Road,South Indian,2024-01-07,11,Sunday,1,0,none,Filter Coffee,2,111.72,4,2
182,Vaishali,FC Road,South Indian,2024-01-07,12,Sunday,1,0,none,Masala Dosa,2,133.32,2,2
183,Vaishali,FC Road,South Indian,2024-01-07,12,Sunday,1,0,none,Filter Coffee,2,88.24,2,2
184,Vaishali,FC Road,South Indian,2024-01-07,12,Sunday,1,0,none,Masala Dosa,2,158.72,1,2
185,Vaishali,FC Road,South Indian,2024-01-07,12,Sunday,1,0,none,Filter Coffee,3,177.29,4,2
186,Vaishali,FC Road,South Indian,2024-01-07,12,Sunday,1,0,none,Idli Sambar,2,138.44,2,2
187,Vaishali,FC Road,South Indian,2024-01-07,13,Sunday,1,0,none,Masala Dosa,2,135.39,6,2
188,Vaishali,FC Road,South Indian,2024-01-07,13,Sunday,1,0,none,Masala Dosa,1,79.58,6,2
189,Vaishali,FC Road,South Indian,2024-01-07,13,Sunday,1,0,none,Filter Coffee,1,31.11,2,2
190,Vaishali,FC Road,South Indian,2024-01-07,13,Sunday,1,0,none,Idli Sambar,2,85.77,2,2
191,Vaishali,FC Road,South Indian,2024-01-07,13,Sunday,1,0,none,Masala Dosa,2,113.54,4,2
192,Vaishali,FC Road,South Indian,2024-01-07,13,Sunday,1,0,none,Filter Coffee,2,91.97,4,2
193,Vaishali,FC Road,South Indian,2024-01-07,13,Sunday,1,0,none,Idli Sambar,1,58.3,2,2
194,Vaishali,FC Road,South Indian,2024-01-07,13,Sunday,1,0,none,Filter Coffee,3,143.12,2,2
195,Vaishali,FC Road,South Indian,2024-01-07,13,Sunday,1,0,none,Idli Sambar,1,57.1,1,2
196,Vaishali,FC Road,South Indian,2024-01-07,14,Sunday,1,0,none,Filter Coffee,1,31.29,1,2
197,Vaishali,FC Road,South Indian,2024-01-07,14,Sunday,1,0,none,Masala Dosa,2,109.71,2,2
198,Vaishali,FC Road,South Indian,2024-01-07,14,Sunday,1,0,none,Masala Dosa,1,76.43,1,2
199,Vaishali,FC Road,South Indian,2024-01-07,14,Sunday,1,0,none,Filter Coffee,1,30.88,4,2
200,Vaishali,FC Road,South Indian,2024-01-07,14,Sunday,1,0,none,Idli Sambar,2,117.4,4,2
201,Vaishali,FC Road,South Indian,2024-01-07,14,Sunday,1,0,none,Filter Coffee,2,85.82,1,2
202,Vaishali,FC Road,South Indian,2024-01-07,14,Sunday,1,0,none,Filter Coffee,2,114.73,2,2
203,Vaishali,FC Road,South Indian,2024-01-07,14,Sunday,1,0,none,Idli Sambar,2,145.19,2,2
204,Vaishali,FC Road,South Indian,2024-01-07,14,Sunday,1,0,none,Idli Sambar,2,86.01,4,2
205,Vaishali,FC Road,South Indian,2024-01-07,14,Sunday,1,0,none,Filter Coffee,2,111.71,2,2
206,Vaishali,FC Road,South Indian,2024-01-07,14,Sunday,1,0,none,Idli Sambar,1,57.04,6,2
207,Vaishali,FC Road,South Indian,2024-01-07,17,Sunday,1,0,none,Filter Coffee,2,106.01,4,2
208,Vaishali,FC Road,South Indian,2024-01-07,17,Sunday,1,0,none,Filter Coffee,3,191.66,1,2
209,Vaishali,FC Road,South Indian,2024-01-07,17,Sunday,1,0,none,Idli Sambar,2,89.14,1,2
210,Vaishali,FC Road,South Indian,2024-01-07,17,Sunday,1,0,none,Masala Dosa,2,106.54,4,2
211,Vaishali,FC Road,South Indian,2024-01-07,17,Sunday,1,0,none,Idli Sambar,2,86.89,1,2
212,Vaishali,FC Road,South Indian,2024-01-07,17,Sunday,1,0,none,Idli Sambar,2,116.36,1,2
213,Vaishali,FC Road,South Indian,2024-01-07,18,Sunday,1,0,none,Filter Coffee,1,28.52,4,2
214,Vaishali,FC Road,South Indian,2024-01-07,18,Sunday,1,0,none,Filter Coffee,3,133.57,2,2
215,Vaishali,FC Road,South Indian,2024-01-07,18,Sunday,1,0,none,Masala Dosa,2,165.57,6,2
216,Vaishali,FC Road,South Indian,2024-01-07,18,Sunday,1,0,none,Filter Coffee,2,87.07,1,2
217,Vaishali,FC Road,South Indian,2024-01-07,18,Sunday,1,0,none,Masala Dosa,1,78.63,4,2
218,Vaishali,FC Road,South Indian,2024-01-07,18,Sunday,1,0,none,Masala Dosa,1,82.89,4,2
219,Vaishali,FC Road,South Indian,2024-01-07,18,Sunday,1,0,none,Masala Dosa,1,80.45,2,2
220,Vaishali,FC Road,South Indian,2024-01-07,19,Sunday,1,0,none,Filter Coffee,3,136.39,1,2
221,Vaishali,FC Road,South Indian,2024-01-07,19,Sunday,1,0,none,Filter Coffee,1,30.54,2,2
222,Vaishali,FC Road,South Indian,2024-01-07,19,Sunday,1,0,none,Filter Coffee,1,29.59,2,2
223,Vaishali,FC Road,South Indian,2024-01-07,19,Sunday,1,0,none,Idli Sambar,3,157.22,4,2
224,Vaishali,FC Road,South Indian,2024-01-07,20,Sunday,1,0,none,Filter Coffee,2,110.37,4,2
225,Vaishali,FC Road,South Indian,2024-01-07,20,Sunday,1,0,none,Filter Coffee,2,59.47,6,2
226,Vaishali,FC Road,South Indian,2024-01-07,20,Sunday,1,0,none,Filter Coffee,2,92.53,4,2
227,Vaishali,FC Road,South Indian,2024-01-07,20,Sunday,1,0,none,Masala Dosa,1,82.95,1,2
228,Vaishali,FC Road,South Indian,2024-01-07,20,Sunday,1,0,none,Filter Coffee,1,30.02,1,2
229,Vaishali,FC Road,South Indian,2024-01-07,20,Sunday,1,0,none,Filter Coffee,1,29.0,2,2
230,Vaishali,FC Road,South Indian,2024-01-07,20,Sunday,1,0,none,Idli Sambar,1,58.76,4,2
231,Vaishali,FC Road,South Indian,2024-01-07,21,Sunday,1,0,none,Filter Coffee,1,31.27,2,2
232,Vaishali,FC Road,South Indian,2024-01-07,21,Sunday,1,0,none,Idli Sambar,2,87.82,4,2
233,Vaishali,FC Road,South Indian,2024-01-07,21,Sunday,1,0,none,Masala Dosa,3,225.98,2,2
234,Vaishali,FC Road,South Indian,2024-01-07,21,Sunday,1,0,none,Masala Dosa,3,169.22,4,2
235,Vaishali,FC Road,South Indian,2024-01-07,21,Sunday,1,0,none,Filter Coffee,2,114.1,2,2
236,Vaishali,FC Road,South Indian,2024-01-07,21,Sunday,1,0,none,Idli Sambar,2,143.16,1,2
237,Vaishali,FC Road,South Indian,2024-01-07,21,Sunday,1,0,none,Filter Coffee,2,86.1,2,2
238,Vaishali,FC Road,South Indian,2024-01-07,21,Sunday,1,0,none,Filter Coffee,2,60.9,4,2
239,Vaishali,FC Road,South Indian,2024-01-07,21,Sunday,1,0,none,Idli Sambar,1,59.54,2,2
240,Vaishali,FC Road,South Indian,2024-01-07,21,Sunday,1,0,none,Filter Coffee,2,58.36,1,2
241,Vaishali,FC Road,South Indian,2024-01-07,21,Sunday,1,0,none,Idli Sambar,3,122.44,4,2
242,Vaishali,FC Road,South Indian,2024-01-07,21,Sunday,1,0,none,Idli Sambar,3,119.68,2,2
243,Vaishali,FC Road,South Indian,2024-01-07,22,Sunday,1,0,none,Idli Sambar,1,62.41,2,2
244,Vaishali,FC Road,South Indian,2024-01-07,22,Sunday,1,0,none,Masala Dosa,1,81.29,2,2
245,Vaishali,FC Road,South Indian,2024-01-07,22,Sunday,1,0,none,Filter Coffee,2,63.0,4,2
246,Vaishali,FC Road,South Indian,2024-01-07,22,Sunday,1,0,none,Masala Dosa,2,142.89,1,2
247,Vaishali,FC Road,South Indian,2024-01-07,22,Sunday,1,0,none,Idli Sambar,2,121.57,1,2
